mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,c111 = 1.000000,c112 = 1.000000,c121 = 1.000000,c122 = 1.000000,c211 = 1.000000,c212 = 1.000000,c221 = 1.000000,c222 = 1.000000,rhoA = 0.100000,rhoB = 0.900000,data are below
sigma,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,FPa11,FPa12,FPa21,FPa22,FPb111,FPb112,FPb211,FPb212,FPb121,FPb122,FPb221,FPb222,
0.100000,0.500000,0.737500,0.737500,0.500000,0.524626,0.524626,0.524626,0.524626,17.920605,17.920605,14.548404,14.548404,14.548404,14.548404,17.920605,17.920605,0.520859,0.538922,0.538922,0.520859,17.857579,18.155623,14.487178,14.777462,14.777462,14.487178,18.155623,17.857579,
0.100000,0.500000,0.750000,0.750000,0.500000,0.525523,0.525523,0.525523,0.525523,17.935544,17.935544,14.420214,14.420214,14.420214,14.420214,17.935544,17.935544,0.521636,0.540515,0.540515,0.521636,17.870606,18.181410,14.357295,14.659288,14.659288,14.357295,18.181410,17.870606,
0.100000,0.500000,0.762500,0.762500,0.500000,0.526399,0.526399,0.526399,0.526399,17.950104,17.950104,14.294347,14.294347,14.294347,14.294347,17.950104,17.950104,0.522387,0.542081,0.542081,0.522387,17.883197,18.206674,14.229694,14.543235,14.543235,14.229694,18.206674,17.883197,
0.100000,0.500000,0.775000,0.775000,0.500000,0.527247,0.527247,0.527247,0.527247,17.964177,17.964177,14.170620,14.170620,14.170620,14.170620,17.964177,17.964177,0.523116,0.543601,0.543601,0.523116,17.895389,18.231135,14.104332,14.428952,14.428952,14.104332,18.231135,17.895389,
0.100000,0.500000,0.787500,0.787500,0.500000,0.528068,0.528068,0.528068,0.528068,17.977780,17.977780,14.048974,14.048974,14.048974,14.048974,17.977780,17.977780,0.523823,0.545086,0.545086,0.523823,17.907194,18.254967,13.981143,14.316532,14.316532,13.981143,18.254967,17.907194,
0.100000,0.500000,0.800000,0.800000,0.500000,0.528863,0.528863,0.528863,0.528863,17.990930,17.990930,13.929353,13.929353,13.929353,13.929353,17.990930,17.990930,0.524508,0.546537,0.546537,0.524508,17.918625,18.278189,13.860070,14.205924,14.205924,13.860070,18.278189,17.918625,
0.100000,0.500000,0.812500,0.812500,0.500000,0.529624,0.529624,0.529624,0.529624,18.003503,18.003503,13.811569,13.811569,13.811569,13.811569,18.003503,18.003503,0.525172,0.547955,0.547955,0.525172,17.929698,18.300816,13.741055,14.097072,14.097072,13.741055,18.300816,17.929698,
0.100000,0.500000,0.825000,0.825000,0.500000,0.530369,0.530369,0.530369,0.530369,18.015799,18.015799,13.695844,13.695844,13.695844,13.695844,18.015799,18.015799,0.525817,0.549342,0.549342,0.525817,17.940426,18.322877,13.624046,13.989941,13.989941,13.624046,18.322877,17.940426,
0.100000,0.500000,0.837500,0.837500,0.500000,0.531091,0.531091,0.531091,0.531091,18.027694,18.027694,13.581994,13.581994,13.581994,13.581994,18.027694,18.027694,0.526442,0.550687,0.550687,0.526442,17.950822,18.344230,13.508991,13.884328,13.884328,13.508991,18.344230,17.950822,
0.100000,0.500000,0.850000,0.850000,0.500000,0.531791,0.531791,0.531791,0.531791,18.039202,18.039202,13.469972,13.469972,13.469972,13.469972,18.039202,18.039202,0.527050,0.552012,0.552012,0.527050,17.960899,18.365204,13.395839,13.780491,13.780491,13.395839,18.365204,17.960899,
0.100000,0.500000,0.862500,0.862500,0.500000,0.532469,0.532469,0.532469,0.532469,18.050337,18.050337,13.359733,13.359733,13.359733,13.359733,18.050337,18.050337,0.527639,0.553307,0.553307,0.527639,17.970669,18.385659,13.284542,13.678236,13.678236,13.284542,18.385659,17.970669,
0.100000,0.500000,0.875000,0.875000,0.500000,0.533126,0.533126,0.533126,0.533126,18.061111,18.061111,13.251230,13.251230,13.251230,13.251230,18.061111,18.061111,0.528211,0.554563,0.554563,0.528211,17.980143,18.405454,13.175053,13.577375,13.577375,13.175053,18.405454,17.980143,
