mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,c111 = 1.000000,c112 = 1.000000,c121 = 1.000000,c122 = 1.000000,c211 = 1.000000,c212 = 1.000000,c221 = 1.000000,c222 = 1.000000,sigma =0.250000,data are below
drho,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,HOa11,HOa12,HOa21,HOa22,HOb111,HOb112,HOb211,HOb212,HOb121,HOb122,HOb221,HOb222,
0.010000,0.750000,0.750000,0.625000,0.625000,0.585960,0.585960,0.585960,0.585960,15.351203,15.351203,16.935815,16.935815,15.351203,15.351203,16.935815,16.935815,0.585955,0.585955,0.585955,0.585955,15.351142,15.351135,16.935752,16.935745,15.351142,15.351135,16.935752,16.935745,
0.010000,0.750000,0.750000,0.750000,0.750000,0.613087,0.613087,0.613087,0.613087,15.742246,15.742246,15.742246,15.742246,15.742246,15.742246,15.742246,15.742246,0.613083,0.613083,0.613083,0.613083,15.742185,15.742185,15.742185,15.742185,15.742185,15.742185,15.742185,15.742185,
0.010000,0.750000,0.750000,0.875000,0.875000,0.637071,0.637071,0.637071,0.637071,16.075234,16.075234,14.746326,14.746326,16.075234,16.075234,14.746326,14.746326,0.637067,0.637067,0.637067,0.637067,16.075170,16.075175,14.746263,14.746267,16.075170,16.075175,14.746263,14.746267,
0.010000,0.750000,0.750000,1.000000,1.000000,0.658623,0.658623,0.658623,0.658623,16.364783,16.364783,13.898161,13.898161,16.364783,16.364783,13.898161,13.898161,0.658618,0.658619,0.658618,0.658619,16.364720,16.364728,13.898101,13.898109,16.364720,16.364728,13.898101,13.898109,
0.010000,0.750000,0.750000,1.125000,1.125000,0.677526,0.677526,0.677526,0.677526,16.611548,16.611548,13.155660,13.155660,16.611548,16.611548,13.155660,13.155660,0.677521,0.677522,0.677521,0.677522,16.611484,16.611496,13.155599,13.155610,16.611484,16.611496,13.155599,13.155610,
0.010000,0.750000,0.750000,1.250000,1.250000,0.694443,0.694443,0.694443,0.694443,16.826909,16.826909,12.499987,12.499987,16.826909,16.826909,12.499987,12.499987,0.694438,0.694439,0.694438,0.694439,16.826845,16.826859,12.499928,12.499941,16.826845,16.826859,12.499928,12.499941,
0.010000,0.750000,0.750000,1.375000,1.375000,0.709881,0.709881,0.709881,0.709881,17.019084,17.019084,11.917149,11.917149,17.019084,17.019084,11.917149,11.917149,0.709876,0.709877,0.709876,0.709877,17.019021,17.019037,11.917093,11.917107,17.019021,17.019037,11.917093,11.917107,
0.010000,0.750000,0.750000,1.500000,1.500000,0.723995,0.723995,0.723995,0.723995,17.191259,17.191259,11.393834,11.393834,17.191259,17.191259,11.393834,11.393834,0.723990,0.723991,0.723990,0.723991,17.191195,17.191213,11.393778,11.393794,17.191195,17.191213,11.393778,11.393794,
0.010000,0.875000,0.875000,0.500000,0.500000,0.574784,0.574784,0.574784,0.574784,13.876158,13.876158,18.717653,18.717653,13.876158,13.876158,18.717653,18.717653,0.574780,0.574779,0.574780,0.574779,13.876106,13.876085,18.717599,18.717577,13.876106,13.876085,18.717599,18.717577,
0.010000,0.875000,0.875000,0.625000,0.625000,0.608502,0.608502,0.608502,0.608502,14.356275,14.356275,17.265934,17.265934,14.356275,14.356275,17.265934,17.265934,0.608498,0.608497,0.608498,0.608497,14.356221,14.356210,17.265878,17.265866,14.356221,14.356210,17.265878,17.265866,
