mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,sigma =0.250000,data are below
cA11,cA12,cA21,cA22,cB11,cB12,cB21,cB22,rho,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,FPa11,FPa12,FPa21,FPa22,FPb111,FPb112,FPb211,FPb212,FPb121,FPb122,FPb221,FPb222,
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817884,0.817884,0.817884,0.817884,15.746846,15.746846,15.746846,15.746846,15.746846,15.746846,15.746846,15.746846,0.817882,0.817882,0.817882,0.817882,15.746821,15.746821,15.746821,15.746821,15.746821,15.746821,15.746821,15.746821,
1.000000,0.900000,0.900000,1.000000,0.900000,1.000000,1.000000,0.900000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817679,0.817679,0.817679,0.817679,15.744678,15.744678,15.744678,15.744678,15.744678,15.744678,15.744678,15.744678,0.817674,0.817680,0.817680,0.817674,15.744621,15.744686,15.744621,15.744686,15.744686,15.744621,15.744686,15.744621,
1.000000,0.800000,0.800000,1.000000,0.800000,1.000000,1.000000,0.800000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817473,0.817473,0.817473,0.817473,15.742490,15.742490,15.742490,15.742490,15.742490,15.742490,15.742490,15.742490,0.817340,0.817533,0.817533,0.817340,15.741086,15.743132,15.741086,15.743132,15.743132,15.741086,15.743132,15.741086,
1.000000,0.700000,0.700000,1.000000,0.700000,1.000000,1.000000,0.700000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817262,0.817262,0.817262,0.817262,15.740260,15.740260,15.740260,15.740260,15.740260,15.740260,15.740260,15.740260,0.816833,0.817510,0.817510,0.816833,15.735709,15.742882,15.735709,15.742882,15.742882,15.735709,15.742882,15.735709,
1.000000,0.600000,0.600000,1.000000,0.600000,1.000000,1.000000,0.600000,0.000000,1.000000,1.000000,1.000000,1.000000,0.817076,0.817076,0.817076,0.817076,15.738287,15.738287,15.738287,15.738287,15.738287,15.738287,15.738287,15.738287,0.816264,0.817545,0.817545,0.816264,15.729675,15.743253,15.729675,15.743253,15.743253,15.729675,15.743253,15.729675,
1.000000,0.500000,0.500000,1.000000,0.500000,1.000000,1.000000,0.500000,0.000000,1.000000,1.000000,1.000000,1.000000,0.816209,0.816209,0.816209,0.816209,15.729085,15.729085,15.729085,15.729085,15.729085,15.729085,15.729085,15.729085,0.814747,0.816996,0.816996,0.814747,15.713569,15.737440,15.713569,15.737440,15.737440,15.713569,15.737440,15.713569,
1.000000,0.400000,0.400000,1.000000,0.400000,1.000000,1.000000,0.400000,0.000000,1.000000,1.000000,1.000000,1.000000,0.816025,0.816025,0.816025,0.816025,15.727137,15.727137,15.727137,15.727137,15.727137,15.727137,15.727137,15.727137,0.813677,0.817096,0.817096,0.813677,15.702186,15.738493,15.702186,15.738493,15.738493,15.702186,15.738493,15.702186,
1.000000,0.300000,0.300000,1.000000,0.300000,1.000000,1.000000,0.300000,0.000000,1.000000,1.000000,1.000000,1.000000,0.815969,0.815969,0.815969,0.815969,15.726541,15.726541,15.726541,15.726541,15.726541,15.726541,15.726541,15.726541,0.812028,0.817328,0.817328,0.812028,15.684628,15.740952,15.684628,15.740952,15.740952,15.684628,15.740952,15.684628,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.000000,1.000000,1.000000,1.000000,1.000000,0.815575,0.815575,0.815575,0.815575,15.722360,15.722360,15.722360,15.722360,15.722360,15.722360,15.722360,15.722360,0.808130,0.817240,0.817240,0.808130,15.642989,15.740022,15.642989,15.740022,15.740022,15.642989,15.740022,15.642989,
1.000000,0.100000,0.100000,1.000000,0.100000,1.000000,1.000000,0.100000,0.000000,1.000000,1.000000,1.000000,1.000000,0.815415,0.815415,0.815415,0.815415,15.720659,15.720659,15.720659,15.720659,15.720659,15.720659,15.720659,15.720659,0.797405,0.817380,0.817380,0.797405,15.527484,15.741505,15.527484,15.741505,15.741505,15.527484,15.741505,15.527484,
1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.814934,0.814934,0.814934,0.814934,15.715557,15.715557,15.715557,15.715557,15.715557,15.715557,15.715557,15.715557,0.442511,0.816554,0.816554,0.442510,10.736748,15.732747,10.736748,15.732747,15.732746,10.736745,15.732746,10.736745,
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.100000,1.000000,1.000000,1.000000,1.000000,0.791301,0.791301,0.791301,0.791301,15.461126,15.461126,15.461126,15.461126,15.461126,15.461126,15.461126,15.461126,0.791298,0.791298,0.791298,0.791298,15.461101,15.461101,15.461101,15.461101,15.461101,15.461101,15.461101,15.461101,
1.000000,0.900000,0.900000,1.000000,0.900000,1.000000,1.000000,0.900000,0.100000,1.000000,1.000000,1.000000,1.000000,0.791202,0.791202,0.791202,0.791202,15.460044,15.460044,15.460044,15.460044,15.460044,15.460044,15.460044,15.460044,0.789895,0.792222,0.792222,0.789895,15.445778,15.471172,15.445778,15.471172,15.471172,15.445778,15.471172,15.445778,
1.000000,0.800000,0.800000,1.000000,0.800000,1.000000,1.000000,0.800000,0.100000,1.000000,1.000000,1.000000,1.000000,0.791101,0.791101,0.791101,0.791101,15.458944,15.458944,15.458944,15.458944,15.458944,15.458944,15.458944,15.458944,0.787914,0.793598,0.793598,0.787914,15.424119,15.486148,15.424119,15.486148,15.486148,15.424119,15.486148,15.424119,
