mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,rhoA = rhoB = 0.5,sigma =0.100000,data are below
cA11,cA12,cA21,cA22,cB11,cB12,cB21,cB22,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,FPa11,FPa12,FPa21,FPa22,FPb111,FPb112,FPb211,FPb212,FPb121,FPb122,FPb221,FPb222,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.700000,0.700000,0.500000,0.541832,0.541832,0.541832,0.541832,18.202665,18.202665,15.271082,15.271082,15.271082,15.271082,18.202665,18.202665,0.526749,0.558953,0.558953,0.526749,17.955918,18.474244,15.028520,15.539386,15.539386,15.028520,18.474244,17.955918,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.712500,0.712500,0.500000,0.544200,0.544200,0.544200,0.544200,18.240754,18.240754,15.156357,15.156357,15.156357,15.156357,18.240754,18.240754,0.528030,0.562083,0.562083,0.528030,17.977159,18.522945,14.897713,15.434778,15.434778,14.897713,18.522945,17.977159,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.725000,0.725000,0.500000,0.546246,0.546246,0.546246,0.546246,18.273539,18.273539,15.039275,15.039275,15.039275,15.039275,18.273539,18.273539,0.529278,0.565159,0.565159,0.529278,17.997795,18.570527,14.769242,15.331881,15.331881,14.769242,18.570527,17.997795,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.737500,0.737500,0.500000,0.548239,0.548239,0.548239,0.548239,18.305329,18.305329,14.923992,14.923992,14.923992,14.923992,18.305329,18.305329,0.530493,0.568193,0.568193,0.530493,18.017836,18.617198,14.643025,15.230810,15.230810,14.643025,18.617198,18.017836,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.750000,0.750000,0.500000,0.550195,0.550195,0.550195,0.550195,18.336431,18.336431,14.810724,14.810724,14.810724,14.810724,18.336431,18.336431,0.531680,0.571172,0.571172,0.531680,18.037378,18.662752,14.519071,15.131275,15.131275,14.519071,18.662752,18.037378,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.762500,0.762500,0.500000,0.552109,0.552109,0.552109,0.552109,18.366740,18.366740,14.699285,14.699285,14.699285,14.699285,18.366740,18.366740,0.532811,0.574066,0.574066,0.532811,18.055954,18.706778,14.396842,15.032790,15.032790,14.396842,18.706778,18.055954,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.775000,0.775000,0.500000,0.553972,0.553972,0.553972,0.553972,18.396138,18.396138,14.589482,14.589482,14.589482,14.589482,18.396138,18.396138,0.533950,0.576917,0.576917,0.533950,18.074611,18.749914,14.277277,14.935904,14.935904,14.277277,18.749914,18.074611,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.787500,0.787500,0.500000,0.555803,0.555803,0.555803,0.555803,18.424936,18.424936,14.481545,14.481545,14.481545,14.481545,18.424936,18.424936,0.535153,0.580053,0.580053,0.535153,18.094285,18.797095,14.161199,14.845391,14.845391,14.161199,18.797095,18.094285,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.800000,0.800000,0.500000,0.557586,0.557586,0.557586,0.557586,18.452877,18.452877,14.375151,14.375151,14.375151,14.375151,18.452877,18.452877,0.536233,0.582852,0.582852,0.536233,18.111902,18.838970,14.045567,14.751988,14.751988,14.045567,18.838970,18.111902,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.812500,0.812500,0.500000,0.559339,0.559339,0.559339,0.559339,18.480264,18.480264,14.270527,14.270527,14.270527,14.270527,18.480264,18.480264,0.537287,0.585608,0.585608,0.537287,18.129072,18.880005,13.931866,14.660016,14.660016,13.931866,18.880005,18.129072,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.825000,0.825000,0.500000,0.561046,0.561046,0.561046,0.561046,18.506844,18.506844,14.167361,14.167361,14.167361,14.167361,18.506844,18.506844,0.538317,0.588323,0.588323,0.538317,18.145808,18.920221,13.820045,14.569432,14.569432,13.820045,18.920221,18.145808,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.837500,0.837500,0.500000,0.562726,0.562726,0.562726,0.562726,18.532910,18.532910,14.065875,14.065875,14.065875,14.065875,18.532910,18.532910,0.539324,0.590998,0.590998,0.539324,18.162126,18.959645,13.710054,14.480200,14.480200,13.710054,18.959645,18.162126,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.850000,0.850000,0.500000,0.564370,0.564370,0.564370,0.564370,18.558349,18.558349,13.965900,13.965900,13.965900,13.965900,18.558349,18.558349,0.540307,0.593634,0.593634,0.540307,18.178040,18.998300,13.601846,14.392281,14.392281,13.601846,18.998300,18.178040,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.862500,0.862500,0.500000,0.565971,0.565971,0.565971,0.565971,18.583040,18.583040,13.867261,13.867261,13.867261,13.867261,18.583040,18.583040,0.541268,0.596231,0.596231,0.541268,18.193563,19.036206,13.495374,14.305638,14.305638,13.495374,19.036206,18.193563,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.875000,0.875000,0.500000,0.567547,0.567547,0.567547,0.567547,18.607278,18.607278,13.770188,13.770188,13.770188,13.770188,18.607278,18.607278,0.542207,0.598790,0.598790,0.542207,18.208710,19.073388,13.390595,14.220239,14.220239,13.390595,19.073388,18.208710,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.887500,0.887500,0.500000,0.569081,0.569081,0.569081,0.569081,18.630807,18.630807,13.674381,13.674381,13.674381,13.674381,18.630807,18.630807,0.543125,0.601312,0.601312,0.543125,18.223490,19.109862,13.287465,14.136050,14.136050,13.287465,19.109862,18.223490,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.900000,0.900000,0.500000,0.570593,0.570593,0.570593,0.570593,18.653916,18.653916,13.580067,13.580067,13.580067,13.580067,18.653916,18.653916,0.544023,0.603798,0.603798,0.544023,18.237917,19.145652,13.185943,14.053040,14.053040,13.185943,19.145652,18.237917,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.912500,0.912500,0.500000,0.572073,0.572073,0.572073,0.572073,18.676490,18.676490,13.487085,13.487085,13.487085,13.487085,18.676490,18.676490,0.544901,0.606249,0.606249,0.544901,18.252002,19.180775,13.085990,13.971178,13.971178,13.085990,19.180775,18.252002,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.925000,0.925000,0.500000,0.573518,0.573518,0.573518,0.573518,18.698450,18.698450,13.395315,13.395315,13.395315,13.395315,18.698450,18.698450,0.545760,0.608665,0.608665,0.545760,18.265754,19.215248,12.987567,13.890433,13.890433,12.987567,19.215248,18.265754,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.937500,0.937500,0.500000,0.574943,0.574943,0.574943,0.574943,18.720071,18.720071,13.304971,13.304971,13.304971,13.304971,18.720071,18.720071,0.546600,0.611047,0.611047,0.546600,18.279186,19.249090,12.890637,13.810781,13.810781,12.890637,19.249090,18.279186,
